id,name,cost,type,resolve,speed,damage,toughness,life,shorttext,longtext,flavortext,card_image,common,uncommon,rare,action,event,continuous,item,bast,igrath,lilith,vi,ravat,scuttler,tendril,wisp,scinter,tinsel,show_resolve,show_speed,show_tough,show_life,border_normal
Blaze,"Blaze",1,"Event- Channel","+0",0,0,0,0,"Deal 1 to a follower.Draw 1.","Channeled cards can only be played with their leader's resolve","","F:\GitLab\dreamkeepers-psd\Images\Bast\Blaze.png",true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Chaotic Blast,"Chaotic Blast",3,"Event- Channel","+0",0,0,0,0,"Bast deals 2 to all other characters.Nearby characters take +1 damage.","Characters in the same lane are considered nearby. Bast does not take damage.Channeled cards can only be played with their leader's resolve","","F:\GitLab\dreamkeepers-psd\Images\Bast\Chaotic Blast.png",false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Combust,"Combust",1,"Action- Channel","+0",0,0,0,0,"Deal 2 to a character.","Channeled cards can only be played with their leader's resolve","","F:\GitLab\dreamkeepers-psd\Images\Bast\Combust.png",true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Hot Coals,"Hot Coals",3,"Event- Continuous","+0",0,0,0,0,"If you would draw a card, you may put a discarded Bast channel card into your hand instead.","","","F:\GitLab\dreamkeepers-psd\Images\Bast\Hot Coals.png",false,true,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
Ignite,"Ignite",1,"Action- Channel","+0",0,0,0,0,"Deal 3 to a hero.","Ignite can be played on Leaders, bonus heroes, or deck heroes.Channeled cards can only be played with their leader's resolve.","","F:\GitLab\dreamkeepers-psd\Images\Bast\Ignite.png",true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Kindle,"Kindle",2,"Event","+0",0,0,0,0,"Reveal the top 4 cards of your deck. Put 2 Bast Channel cards from among them into your hand and discard the rest.","","","F:\GitLab\dreamkeepers-psd\Images\Bast\Kindle.png",true,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Relentless Fury,"Relentless Fury",3,"Event","+0",0,0,0,0,"You may move a Troika hero.That hero gains +1 speed this turn.","Speed is spent to attack, intercept, or redeploy.Move means to put that character in another zone, this does not count as a redeployment.","","F:\GitLab\dreamkeepers-psd\Images\Bast\Relentless Fury.png",false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Rush of Anger,"Rush of Anger",2,"Event","+0",0,0,0,0,"A character gets +3/+0 this turn.","You may target any character- even your opponent's.You may play Rush of Anger on a hero or follower.","","F:\GitLab\dreamkeepers-psd\Images\Bast\Rush of Anger.png",false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true
Savage Punch,"Savage Punch",2,"Event","+0",0,0,0,0,"A Troika hero deals its damage to a nearby character.","Characters in the same lane are considered nearby.","","F:\GitLab\dreamkeepers-psd\Images\Bast\Savage Punch.png",false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,tru
Bushwack Squad,"Bushwack Squad",1,"Follower","+0",1,1,1,0,"Uncontested- +2/+1.","If your opponent controls no nearby characters, this character gets +2/+1.","Our chief weapon is surprise!  Surprise and guns, guns and surprise... Our two weapons are guns and surprise... And ruthless sarcasm!  Our three weapons are...","F:\GitLab\dreamkeepers-psd\Images\Igrath\Bushwack Squad.png",true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,false,true
